country,num_people,Electricity_consumption,clean_energy,num_cars,factory_size,local_products?,buy _environmentally_companies?,HANDLE WASTE?,Heating energy,gasoline,natural gas ,water consumtion,waste quantity,Carbon_precentage
Egypt,269,6422,51,7,3,Sometimes,Always,Glass,Coal,2373,1602,2890,4878,115.000693284917
Egypt,534,5069,58,7,1,I`am not considering this option,I`am not considering this option,Tin cans,Charcoal,1959,1397,1636,4844,151.581317324774
Egypt,632,4228,86,7,1,Sometimes,Sometimes,Paper,Coal,1375,4707,1727,3761,182.62012134149
Egypt,484,2167,68,4,1,Always,Always,Plastic,Electricity,879,1033,1234,2660,119.615629351178
Egypt,258,2447,25,5,2,I`am not considering this option,Sometimes,Paper,No heating,2796,996,830,2570,93.1484533295084
Egypt,324,3355,4,0,0,Sometimes,I`am not considering this option,Tin cans,Peat,2899,2570,1450,749,119.247633327214
Egypt,373,1294,65,1,0,Sometimes,Sometimes,Tin cans,No heating,2308,2923,2203,2092,119.037965350264
Egypt,587,5497,3,5,2,Always,Always,Paper,Electricity,2357,2313,2206,1818,172.60199732913
Angola,556,3232,60,8,1,Always,Always,Paper,Vegetable oil,2054,3168,2325,329,162.086100013709
Japan,380,5626,22,5,2,Sometimes,Sometimes,Food,Vegetable oil,2485,1103,926,3966,128.328010639776
Egypt,188,6384,48,0,2,Sometimes,I`am not considering this option,Plastic,Electricity,1464,1211,141,2605,80.5169372775578
Germany,772,4388,84,3,3,Always,Always,Paper,Vegetable oil,1740,2678,1871,3058,204.344424019941
Egypt,389,1943,58,5,0,Always,Sometimes,Tin cans,Electricity,809,2463,2682,1192,101.692741345221
Andorra,774,4552,45,3,3,I`am not considering this option,Sometimes,Glass,Peat,1632,5688,1026,567,216.671577354507
China,592,5171,65,5,0,Always,I`am not considering this option,Food,Coal,1990,851,2349,4092,163.504322662031
Saudi Arabia,725,1921,34,2,1,Sometimes,I`am not considering this option,Glass,Vegetable oil,2873,4823,310,2963,211.961940046237
United States,86,1410,69,6,1,Sometimes,Always,Glass,Charcoal,2145,3122,295,2284,67.8936799878924
Japan,255,4492,63,7,1,I`am not considering this option,Sometimes,Tin cans,No heating,1903,5484,982,2103,112.879374637245
Japan,196,5074,83,5,1,Always,Always,Tin cans,Coal,2212,2032,1042,2804,90.4703146236361
Jordan,391,1518,66,5,2,Always,Sometimes,Tin cans,Peat,2374,6018,833,1544,137.705685349558
United Arab Emirates,625,3054,61,4,0,Sometimes,Sometimes,Plastic,Wood,841,2424,2192,772,156.002114688823
Germany,110,4823,28,5,0,Always,I`am not considering this option,Paper,Electricity,1823,5198,2328,3473,85.0231319554541
Angola,183,1199,44,5,3,I`am not considering this option,Always,Paper,Coal,2481,3578,2075,127,89.1221000013545
Albania,694,6299,24,8,2,I`am not considering this option,I`am not considering this option,Plastic,No heating,813,5828,2490,4345,199.441859995792
United States,588,2614,18,4,2,Always,Sometimes,Tin cans,Charcoal,2167,5551,716,3149,174.793404026569
Saudi Arabia,358,3630,89,2,1,Sometimes,I`am not considering this option,Food,Peat,2574,6710,1518,3692,154.517191988065
Germany,575,5178,10,0,1,Always,I`am not considering this option,Food,Peat,849,5414,1391,3567,170.873403997549
Algeria,533,4122,93,5,0,Sometimes,Always,Plastic,Vegetable oil,1276,4861,2781,4943,166.468430665874
Egypt,446,2362,82,4,0,Sometimes,Always,Food,Electricity,900,1949,1842,1369,123.99488134439
Andorra,15,1674,87,3,2,Always,Sometimes,Paper,Peat,2863,3448,954,2093,56.7628093100795
Egypt,443,6691,44,8,1,Always,Always,Tin cans,Coal,1370,5928,1709,3162,156.543029299145
Germany,639,6254,74,3,2,I`am not considering this option,Sometimes,Food,Wood,1919,5382,1825,2209,199.203499987294
United Kingdom,742,2562,94,6,0,Always,Sometimes,Paper,Charcoal,2841,3522,1400,1981,205.492633369824
United Kingdom,591,6667,41,5,1,Sometimes,Always,Food,Vegetable oil,2059,5332,2057,3086,197.283141313885
United States,621,3660,5,6,0,Always,I`am not considering this option,Paper,Peat,2749,3659,2603,146,183.189832019186
Germany,719,4315,49,5,0,Sometimes,I`am not considering this option,Food,Wood,1618,888,2483,343,183.126452018221
Egypt,678,6286,20,5,1,Always,Always,Paper,Peat,823,2393,1757,2167,177.18304132794
Algeria,176,2398,85,6,0,Always,Sometimes,Plastic,Coal,2414,1132,1326,3405,72.9795106510964
Japan,367,6048,39,0,2,I`am not considering this option,Always,Tin cans,Charcoal,1305,1628,1557,4034,116.330074632467
Andorra,793,2195,28,5,3,Sometimes,Sometimes,Tin cans,Vegetable oil,1307,5622,705,2062,208.09705338359
Japan,719,5645,19,4,1,Sometimes,Sometimes,Food,Electricity,1779,3956,1891,1029,203.20227067239
Egypt,259,2135,72,1,0,Always,I`am not considering this option,Tin cans,Electricity,2807,2775,2253,2273,102.81886532948
Germany,482,6324,14,2,0,I`am not considering this option,Always,Paper,Peat,1852,1240,832,2907,144.491707975677
United Arab Emirates,800,2354,35,6,3,I`am not considering this option,Always,Plastic,Vegetable oil,2067,1817,874,371,200.019022715365
Saudi Arabia,141,1222,25,6,3,Always,Always,Food,No heating,2385,6968,159,2758,99.3324959984755
Angola,598,5770,1,5,1,Sometimes,I`am not considering this option,Glass,Peat,1259,6801,2870,4434,192.078879994005
China,682,2542,25,3,1,I`am not considering this option,Always,Food,Electricity,2854,6233,919,4564,215.260602702583
China,323,4945,11,4,1,Always,Sometimes,Glass,Peat,2749,5224,876,1841,135.584910642523
Japan,395,6718,81,5,0,Sometimes,I`am not considering this option,Glass,Vegetable oil,2467,4042,931,715,152.190630624848
United States,268,3366,55,0,3,Sometimes,Always,Tin cans,Wood,2235,3406,1494,779,109.000035984723
Germany,371,4586,27,9,0,Always,Always,Food,Wood,1646,5936,1443,4827,143.148491983385
Albania,680,4519,28,5,1,I`am not considering this option,Sometimes,Glass,Vegetable oil,1632,4610,1597,1871,192.224868013728
Egypt,574,4621,29,3,1,Sometimes,Sometimes,Tin cans,Peat,2093,4090,2078,1775,172.071665335593
Egypt,646,2344,83,7,0,I`am not considering this option,Always,Paper,Electricity,967,5868,1886,2180,183.485917363809
Germany,72,2229,45,1,1,Always,Always,Tin cans,Electricity,1999,1915,1238,592,51.9888719790786
Egypt,614,4552,85,5,0,Always,Sometimes,Food,Vegetable oil,1234,4191,1329,4438,174.839109336195
Angola,556,1253,79,5,2,Sometimes,I`am not considering this option,Glass,Peat,1362,4046,1283,3092,156.905952034144
United Arab Emirates,493,2150,9,4,3,Sometimes,I`am not considering this option,Plastic,Coal,2768,5581,2088,2162,166.735538689907
Saudi Arabia,498,1302,73,8,3,I`am not considering this option,Sometimes,Paper,Charcoal,2334,5705,2391,2704,160.933504028521
Egypt,91,6868,32,5,1,Sometimes,Sometimes,Plastic,Electricity,2314,4961,2692,3844,91.8509812641352
United States,571,1309,85,0,2,Always,I`am not considering this option,Paper,Electricity,1543,4081,1552,4293,159.1639880344
Germany,31,2664,57,7,2,Always,I`am not considering this option,Food,Coal,1250,2027,1048,2241,40.4132119696587
Japan,381,2426,95,7,3,I`am not considering this option,Always,Food,Charcoal,1851,5948,2226,137,142.352710669923
Jordan,596,2634,56,7,2,Sometimes,Always,Tin cans,Peat,854,817,964,1161,142.755649357778
Saudi Arabia,560,4188,100,3,0,Sometimes,Sometimes,Food,Wood,2758,1136,2817,3554,166.135648000569
Germany,84,3215,34,5,3,I`am not considering this option,Sometimes,Paper,Peat,938,1431,979,197,41.7768759703126
Egypt,720,5193,68,4,3,Always,Always,Tin cans,Vegetable oil,1573,5370,2506,1567,206.645897340546
Algeria,119,2708,56,6,1,Always,I`am not considering this option,Glass,No heating,2780,1902,1620,3028,74.0201466443303
Albania,70,3442,4,6,3,I`am not considering this option,I`am not considering this option,Tin cans,Wood,970,1477,2320,727,40.1007799686301
Germany,759,2775,25,4,1,Sometimes,Sometimes,Plastic,Wood,965,2788,2748,3857,185.984612040762
Egypt,228,3265,84,4,2,I`am not considering this option,Sometimes,Plastic,Electricity,1311,4951,550,4029,96.7416333132821
Egypt,63,6616,91,4,1,Always,I`am not considering this option,Tin cans,Electricity,1934,4423,523,3797,77.4055452598818
United Kingdom,252,2551,23,3,0,Always,Always,Glass,Vegetable oil,1003,5274,1798,4646,101.401245327857
United States,568,3245,61,4,2,Sometimes,Always,Food,Vegetable oil,2720,4724,632,2683,186.206308014629
Algeria,733,3896,6,0,1,Always,I`am not considering this option,Glass,Wood,1959,3993,862,1339,200.435494693845
Saudi Arabia,30,6136,21,0,2,Sometimes,Sometimes,Paper,Peat,1199,2869,2503,145,52.3219319337206
Angola,18,1991,76,5,1,Always,I`am not considering this option,Tin cans,Vegetable oil,2783,4231,1661,4642,63.1719839743411
Angola,534,3205,67,4,2,Sometimes,Sometimes,Paper,Wood,2159,4888,2568,1285,168.12569201133
Andorra,596,6406,88,7,1,Sometimes,Sometimes,Plastic,Peat,2629,1977,2647,1681,178.851601313838
Egypt,391,6428,0,5,1,Always,Always,Tin cans,No heating,1124,2781,2815,328,122.617293300165
Egypt,138,1751,85,0,1,Sometimes,I`am not considering this option,Food,No heating,1299,5880,1855,4739,86.7259533211819
Germany,501,6317,64,1,0,I`am not considering this option,Always,Food,Peat,1365,6660,1830,2434,176.775519973957
Japan,182,3854,54,3,3,I`am not considering this option,Sometimes,Glass,Electricity,1532,6848,311,4711,103.817950637884
China,489,4236,27,6,2,Sometimes,Sometimes,Glass,Wood,2785,2827,1524,2502,157.62812266525
Germany,717,6378,28,4,2,Always,I`am not considering this option,Food,Vegetable oil,2605,1281,230,4874,199.676719996786
Egypt,725,2319,59,5,1,Sometimes,Sometimes,Tin cans,Coal,2989,6002,2468,4330,218.194525373395
China,697,1020,94,6,3,I`am not considering this option,Always,Tin cans,Charcoal,2193,6406,1871,3613,205.125390715864
United Kingdom,510,2154,45,5,1,Sometimes,Sometimes,Glass,Charcoal,1018,6418,1295,3626,157.302613355567
Egypt,312,1761,72,6,3,I`am not considering this option,I`am not considering this option,Paper,Peat,1803,2330,2014,1530,101.602149338904
Egypt,774,2300,84,5,3,Sometimes,I`am not considering this option,Plastic,Coal,1406,6256,2544,4637,215.836569376553
Egypt,625,1903,90,8,1,Sometimes,Sometimes,Plastic,Coal,1012,1877,2901,3061,153.654977366182
Egypt,100,2240,14,6,1,Always,Always,Paper,Peat,1923,5228,2456,2822,77.9459973173693
Egypt,557,4553,7,5,3,Always,Always,Glass,Wood,1509,3645,2893,2763,163.600025336393
Egypt,345,2072,78,4,1,I`am not considering this option,Sometimes,Food,Electricity,2238,892,905,2861,106.537353338161
Egypt,402,6257,76,1,1,Sometimes,I`am not considering this option,Food,Wood,1805,6077,716,2552,157.954837297574
Egypt,257,1593,43,5,0,Sometimes,Sometimes,Paper,Peat,1276,4150,520,1417,92.7657133375036
Egypt,733,6917,0,6,3,I`am not considering this option,Always,Glass,Vegetable oil,1109,5677,1621,1329,213.103657327804
Egypt,512,2951,45,5,1,Sometimes,Sometimes,Food,Vegetable oil,2389,3058,1744,2409,156.874569346974
Egypt,552,4587,2,2,1,I`am not considering this option,Always,Tin cans,No heating,2305,1927,2628,743,159.275065335775
Egypt,127,6768,39,7,2,Always,Always,Tin cans,Wood,1758,4956,1806,954,91.131197268224
Egypt,307,3290,33,6,0,Always,Sometimes,Plastic,Vegetable oil,2016,4059,995,903,111.050513324315
Egypt,457,2711,18,7,3,I`am not considering this option,Sometimes,Glass,No heating,1871,1914,2702,3463,130.47072134634
Egypt,387,3671,16,7,1,Sometimes,I`am not considering this option,Food,Electricity,1186,6453,175,3768,141.097333329143
Egypt,482,2238,96,0,3,Sometimes,Sometimes,Tin cans,Peat,2788,1942,1353,3473,144.797465348125
Egypt,212,3813,36,6,0,Always,I`am not considering this option,Plastic,Vegetable oil,1002,2248,1117,4300,76.1543813091794
Egypt,588,6773,33,4,1,Always,Sometimes,Plastic,No heating,2205,6295,2583,3841,194.231385312926
Egypt,372,2307,90,6,0,Sometimes,I`am not considering this option,Paper,Electricity,2743,1815,432,3381,125.347441337313
Egypt,413,4873,33,1,0,Sometimes,Always,Tin cans,Wood,2411,6788,2109,4713,164.950129316957
Egypt,760,4123,40,5,3,I`am not considering this option,Always,Tin cans,Peat,2723,2302,2079,988,207.045709358266
Egypt,752,1155,97,6,3,Sometimes,I`am not considering this option,Glass,Coal,2486,3429,1614,3446,205.541949386166
Egypt,127,6138,84,4,0,Always,Always,Food,Electricity,1004,4530,2952,3711,85.7333212718541
Egypt,292,2134,28,7,1,Sometimes,Sometimes,Paper,Peat,2231,3703,2945,4672,111.346213336056
Egypt,449,2392,95,6,1,I`am not considering this option,Sometimes,Plastic,Peat,1905,6481,122,4420,153.926901343422
Egypt,158,5336,97,2,3,I`am not considering this option,I`am not considering this option,Tin cans,Vegetable oil,2894,3046,593,3772,97.0319252827131
Egypt,430,6008,96,6,2,Sometimes,Sometimes,Glass,Peat,867,4126,2177,4652,140.571821301684
Egypt,168,1541,59,0,2,Always,I`am not considering this option,Food,Coal,1213,6688,844,699,89.37696932827
Egypt,431,6720,77,6,2,Always,Always,Food,Charcoal,2648,998,1335,542,144.147373295293
Egypt,637,2352,37,7,0,Sometimes,Always,Glass,No heating,1075,4332,1439,3525,175.995049366214
Egypt,440,2828,27,6,3,Always,Sometimes,Tin cans,No heating,2708,1798,2835,1387,130.739873342692
Egypt,566,2916,53,7,1,Sometimes,Sometimes,Plastic,Coal,2702,4804,2568,1817,178.071625351989
Egypt,216,1073,18,0,2,Always,Always,Paper,Wood,2171,4883,879,4743,98.9670093410052
Egypt,282,5869,12,7,3,Sometimes,Sometimes,Plastic,Wood,1713,3223,2351,2424,109.176877295076
Egypt,664,5105,86,8,1,Sometimes,Sometimes,Paper,Charcoal,1044,4798,254,4579,188.399009334919
Egypt,162,3239,60,8,2,Always,I`am not considering this option,Glass,Coal,2532,5452,724,4845,102.056089309055
Egypt,457,1867,6,5,1,Sometimes,Sometimes,Food,Wood,2879,5565,2878,1363,160.688865356465
Egypt,789,1505,51,6,3,Sometimes,Always,Food,Electricity,2778,6663,2491,1480,236.333037389217
Egypt,448,5173,92,8,2,I`am not considering this option,I`am not considering this option,Tin cans,Peat,1459,1141,1544,2577,127.601569312917
Egypt,14,2688,39,6,3,I`am not considering this option,Always,Tin cans,Electricity,2607,905,2266,4489,46.3233373023533
Egypt,402,2313,13,5,3,Sometimes,Always,Plastic,Peat,1729,5107,1197,2644,137.024301345739
Egypt,597,1142,62,6,3,Sometimes,Sometimes,Food,Electricity,2199,5816,1965,286,181.323893373935
Egypt,308,5388,72,3,0,I`am not considering this option,I`am not considering this option,Plastic,Wood,1743,6198,587,683,130.968561298382
Egypt,381,3508,78,5,0,I`am not considering this option,Always,Glass,Peat,2310,6049,1488,2906,150.846605325781
Egypt,48,4925,16,4,2,Always,Sometimes,Glass,Electricity,2512,4497,2287,3995,75.5307612825839
Egypt,472,1373,67,5,0,Sometimes,Sometimes,Food,Vegetable oil,1013,5663,368,2610,143.929725358915
Egypt,81,4731,56,7,2,Always,I`am not considering this option,Tin cans,Peat,2664,4168,1112,367,79.2511612850317
Germany,67,6393,9,5,1,Always,Sometimes,Paper,Electricity,2232,5526,1179,585,83.0296759353908
Egypt,426,4680,12,7,3,Sometimes,Sometimes,Tin cans,Coal,2634,6733,354,3416,163.005909322047
Angola,146,2060,24,5,2,Always,Always,Food,Charcoal,2792,5202,927,304,96.3640879897416
Andorra,132,3241,42,3,0,I`am not considering this option,Always,Paper,Coal,1189,1099,2947,2464,58.4765013073016
Albania,601,1648,63,4,1,Sometimes,Sometimes,Plastic,Peat,2754,3673,1262,3941,176.399428035216
Germany,608,4547,53,0,0,I`am not considering this option,Sometimes,Paper,Vegetable oil,2142,4713,2482,2880,184.629608004539
Japan,461,4828,10,5,3,Sometimes,I`am not considering this option,Tin cans,Electricity,2931,1638,2148,1543,146.85487865722
Jordan,690,4973,56,5,2,Always,Always,Glass,Electricity,1262,1122,2196,368,174.761957340998
United Kingdom,353,2869,76,0,0,Sometimes,I`am not considering this option,Food,Peat,2343,3710,1817,1324,130.361381330196
Germany,782,1511,59,5,1,Sometimes,Sometimes,Food,Coal,2030,6372,1244,2615,221.536636054509
Egypt,333,3551,93,6,3,Always,I`am not considering this option,Paper,Peat,928,2249,2711,2412,100.884317319647
Algeria,415,1075,22,8,1,I`am not considering this option,Sometimes,Tin cans,Charcoal,2318,6285,240,2107,142.322726693335
China,221,4194,33,5,1,Always,Always,Food,Wood,1551,5534,1269,1902,107.272602639422
Saudi Arabia,137,4381,8,0,1,Always,Always,Tin cans,No heating,2770,5985,1050,2013,102.281699964265
Angola,517,6944,27,6,3,Sometimes,Sometimes,Food,Wood,2885,4778,2965,2013,184.577259971435
Albania,316,3094,56,4,1,I`am not considering this option,I`am not considering this option,Glass,Peat,1234,1526,129,2812,96.2899759923411
Egypt,205,6475,31,5,3,Sometimes,Sometimes,Plastic,No heating,1935,6846,2943,1645,118.815825279553
Germany,379,5283,33,7,2,Always,Always,Plastic,No heating,2278,5592,465,829,146.635659975986
United States,122,3813,46,7,2,I`am not considering this option,Sometimes,Paper,Peat,2073,1368,1685,2113,64.7979399665392
United Kingdom,565,6978,5,5,2,I`am not considering this option,Sometimes,Food,Electricity,1516,1768,2823,1987,160.22874531057
Japan,300,4360,0,8,0,Sometimes,Always,Glass,Wood,2283,6882,1655,3702,141.280186647655
Jordan,520,6109,79,7,1,Always,Always,Tin cans,Vegetable oil,1058,3731,1563,1254,154.375605310422
Saudi Arabia,251,1991,24,7,3,I`am not considering this option,Sometimes,Tin cans,Coal,2215,4948,1624,2103,104.120956000646
